ID,INVENTORY ID,VENDOR,Material Type,DESCRIPTION,12-09-2025,12-02-2025,11/24/2025,11/18/2025,11-11-2025,11-04-2025,10/30/2025,10/24/2025,10/15/2025,10-08-2025,9/29/2025,9/23/2025,9/17/2025,09-10-2025,8/27/2025,8/18/2025,8/14/2025,08-06-2025,7/30/2025,7/25/2025,7/17/2025,07-09-2025,6/24/2025,6/20/2025,06-12-2025,06-05-2025,5/28/2025,5/22/2025,5/15/2025,05-07-2025,4/30/2025,4/23/2025,4/16/2025,04-09-2025,04-02-2025,3/26/2025,3/20/2025,3/13/2025,03-05-2025,2/26/2025,2/19/2025,02-12-2025,02-05-2025,1/29/2025,1/22/2025,1/16/2025,01-08-2025,01-02-2025
12118,125-PM-101-CA,Chap,Wood,6 5/8 x 101 Door Jamb Ext. Prime,545,712,712,784,784,786,775,811,251,256,275,304,319,662,667,692,740,717,722,746,786,788,952,861,959,868,1274,812,812,822,842,852,860,862,912,980,980,1001,1001,1001,1239,1039,1040,1040,1040,1040,1046,1054
12123,141-KV002-PM-CA,Chap,Wood,3 3/8 x 192 Window Ext. Prime,122,245,318,448,560,645,760,873,44,114,186,278,379,496,647,160,244,65,166,429,429,591,65,141,234,715,576,100,200,290,400,480,634,120,80,162,254,308,394,160,220,250,280,364,436,576,713,760
12122,142-KV003-PM-CA,Chap,Wood,4 9/16 x 192 Window Ext. Prime,42,103,110,346,440,440,610,743,286,371,483,533,654,732,375,555,588,450,461,663,663,550,402,409,492,570,744,340,390,486,570,642,702,280,348,426,478,563,673,465,528,78,127,209,252,305,332,382
12124,143-KV004-PM-CA,Chap,Wood,7 1/2 x 192 Window Ext. Prime,72,89,145,204,214,214,228,142,315,332,344,376,391,299,625,17,20,33,50,144,144,168,217,237,235,278,409,160,180,238,258,268,300,178,198,238,248,262,263,268,328,120,122,122,122,147,157,207
12121,140-KV001-PM-CA,Chap,Wood,2 3/8 x 192 Window Ext. Prime,68,60,80,202,342,392,504,733,274,361,480,542,594,650,698,786,891,440,460,679,679,717,239,365,442,534,641,701,787,827,847,907,907,721,740,841,861,996,1021,530,550,80,120,0,19,162,225,268
12116,124-PM-101-CA,Chap,Wood,5 5/8 x 101 Door Jamb Ext. Prime,560,508,498,520,522,554,564,582,567,567,574,574,574,578,580,578,578,578,580,580,580,580,604,602,602,605,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,612,612,617
12115,124-PM-84-CA,Chap,Wood,5 5/8 x 84 Door Jamb Ext. Prime,10,30,30,41,47,63,77,90,93,115,115,146,158,164,137,200,201,208,208,251,253,262,262,262,280,291,293,300,310,310,310,350,370,384,400,420,423,422,427,427,432,442,442,463,466,478,487,497
12120,126-PM-101-CA,Chap,Wood,7 5/8 x 101 Door Jamb Ext. Prime,382,383,407,411,195,195,198,169,214,223,205,206,210,210,227,237,237,237,239,295,354,402,334,359,428,453,329,329,329,329,329,339,339,349,349,384,385,385,385,385,407,168,168,168,172,180,180,189
12113,123-PM-84-CA,Chap,Wood,4 5/8 x 84 Door Jamb Ext. Prime,1,2,2,6,83,141,250,358,360,404,504,597,297,370,874,984,1024,705,782,856,934,1047,1200,1228,1658,1045,1172,1240,1276,1306,1456,1523,1588,916,1024,0,0,24,70,100,160,200,250,296,367,420,463,494
12114,123-PM-101-CA,Chap,Wood,4 5/8 x 101 Door Jamb Ext. Prime,132,206,216,270,240,240,252,292,380,395,395,395,393,395,395,398,398,399,401,401,403,367,398,367,604,401,407,407,407,407,407,407,407,407,407,477,539,574,574,574,574,574,574,574,574,574,574,574
12117,125-PM-84-CA,Chap,Wood,6 5/8 x 84 Door Jamb Ext. Prime,0,0,105,347,426,500,650,739,460,651,890,1040,1180,1432,861,1116,1280,338,257,579,769,456,770,825,890,1338,1766,796,932,1036,1190,1018,1434,786,996,18,222,374,432,548,648,12,128,253,415,508,727,811
