ID,PO NO,VENDOR,INVENTORY ID,INVENTORY NAME,DESCRIPTION,QUANTITY,UNIT COST,TOTALCOST,PO DATE,PLANT,PO RECEIVEDATE,TAG
12120,30924,Chap,126-PM-101-CA,7 5/8 x 101 Door Jamb Ext. Prime,KV 0.750 X 7.188 X 101 DOOR JAMB EXTENSION PRIMED WH-136 240PCS/SKID,240,16.67,4000.8,12/13/2024,1,2/25/2025,
12117,31075,Chap,125-PM-84-CA,6 5/8 x 84 Door Jamb Ext. Prime,KV 0.750 X 6.188 X 84.000 DOOR EXTENSION PRIME WH-136 340PCS/SKID,680,13.28,9030.4,1/17/2025,1,2/19/2025,
12121,31075,Chap,140-KV001-PM-CA,2 3/8 x 192 Window Ext. Prime,"3/4"" X 2 3/8"" X 192"" FJP WINDOW EXTENSION (136 WHITE PRIMED ) 480PCS/SKID",300,11.68,3504,1/17/2025,1,2/19/2025,
12122,31075,Chap,142-KV003-PM-CA,4 9/16 x 192 Window Ext. Prime,"3/4"" X 4 9/16"" X 192"" FJP WINDOW EXTENSION (136 WHITE PRIMED ) 240PCS/SKID",300,19.47,5841,1/17/2025,1,2/19/2025,
12124,31075,Chap,143-KV004-PM-CA,7 1/2 x 192 Window Ext. Prime,"3/4"" X 7 1/2"" X 192"" FJP WINDOW EXTENSION (136 WHITE PRIMED ) 120PCS/SKID",240,31.68,7603.2,1/17/2025,1,2/25/2025,
12113,31252,Chap,123-PM-84-CA,4 5/8 x 84 Door Jamb Ext. Prime,KV 0.750 X 4.188 X 84.000 DOOR EXTENSION PRIME WH-136 360PCS/SKID,800,8.15,6520,1/24/2025,1,4/1/2025,
12119,31252,Chap,126-PM-84-CA,7 5/8 x 84 Door Jamb Ext. Prime,KV 0.750 X 7.188 X 84 DOOR JAMB EXTENSION PRIMED WH-136 240PCS/SKID,800,13.28,10624,1/24/2025,1,4/1/2025,
12119,31252,Chap,126-PM-84-CA,7 5/8 x 84 Door Jamb Ext. Prime,KV 0.750 X 7.188 X 84 DOOR JAMB EXTENSION PRIMED WH-136 240PCS/SKID,200,13.28,2656,1/24/2025,1,4/1/2025,
12121,31252,Chap,140-KV001-PM-CA,2 3/8 x 192 Window Ext. Prime,"3/4"" X 2 3/8"" X 192"" FJP WINDOW EXTENSION (136 WHITE PRIMED ) 480PCS/SKID",480,11.68,5606.4,1/24/2025,1,3/4/2025,
12123,31252,Chap,141-KV002-PM-CA,3 3/8 x 192 Window Ext. Prime,"3/4"" X 3 3/8"" X 192"" FJP WINDOW EXTENSION (136 WHITE PRIMED ) 300PCS/SKID",300,15.57,4671,1/24/2025,1,3/4/2025,
12122,31252,Chap,142-KV003-PM-CA,4 9/16 x 192 Window Ext. Prime,"3/4"" X 4 9/16"" X 192"" FJP WINDOW EXTENSION (136 WHITE PRIMED ) 240PCS/SKID",260,19.47,5062.2,1/24/2025,1,3/4/2025,
