Code,Vendor,Description,2025-12-15,2025-12-12,2025-12-10,2025-12-08,2025-12-05,2025-12-03,2025-12-01,2025-11-28,2025-11-26,2025-11-24,2025-11-21,2025-11-19,2025-11-17,2025-11-14,2025-11-12,2025-11-10,2025-11-07,2025-11-05,2025-11-03,2025-10-31,2025-10-29,2025-10-27,2025-10-24,2025-10-22,2025-10-20,2025-10-17,2025-10-14,2025-10-10,2025-10-06,2025-10-03,2025-10-01,2025-09-29,2025-09-26,2025-09-24,2025-09-22,2025-09-19,2025-09-17,2025-09-15,2025-09-12,2025-09-10,2025-09-08,2025-09-05,2025-09-02,2025-08-27,2025-08-25,2025-08-22,2025-08-20,2025-08-18,2025-08-15,2025-08-13,2025-08-11,2025-08-08,2025-08-05,2025-08-01,2025-07-30,2025-07-28,2025-07-25,2025-07-23,2025-07-21,2025-07-18,2025-07-16,2025-07-14,2025-07-13,2025-07-11,2025-07-09,2025-07-07,2025-07-04,2025-07-01,2025-06-27,2025-06-25,2025-06-23,2025-06-20,2025-06-18,2025-06-16,2025-06-13,2025-06-11,2025-06-09,2025-06-06,2025-06-04,2025-06-02,2025-05-30,2025-05-28,2025-05-26,2025-05-23,2025-05-20,2025-05-16,2025-05-14,2025-05-12,2025-05-09,2025-05-07,2025-05-05,2025-05-02,2025-04-28,2025-04-25,2025-04-21,2025-04-16,2025-04-14,2025-04-11,2025-04-09,2025-04-07,2025-04-02,2025-03-31,2025-03-28,2025-03-26,2025-03-24,2025-03-21,2025-03-17,2025-03-14,2025-03-12,2025-03-10,2025-03-03,2025-02-26,2025-02-24,2025-02-20,2025-02-18,2025-02-12,2025-02-10,2025-02-05,2025-02-03,2025-01-29,2025-01-27,2025-01-22,2025-01-20,2025-01-15,2025-01-13,2025-01-10,2025-01-08,2025-01-06
528712,LTC,BURGUNDY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,5,6,4,3.5,6,4,4,4,0,0,0,0,0
528125,LTC,CREAM,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2
70122,LTC,HERON BLUE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.5,5,5.5,5,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7.5,7,7,8,7.5,8.5,8.5,6,6.5,6.5,6.5,6.5,6.5,6.5,7,6.5,6.5,7,7,6,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,6.5,7,7,7,7,7,7,7,7,7.5,8,8,8,8,8,8,5,5,3,3,3
70138,LTC,RED,3,3,2.5,2,2.5,3,3,3,3,3,3,3,3,3,2,2,3,4,2.5,2.5,2,2,2,2.5,3,3,4,4,5,4,3,2,2,3,3,2,2.5,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,2,2,2,3,3,3,1,1,1,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3.5,4,4,4,4,1,1,2,2,2,4,4,4.5,5,6,6,7,7,7,7.5,8,8,9,14,16,9,9.5,4,4,0,0,2
70121,LTC,TERRA BRONZE,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2.5,2.5,2.5,2.5,2.5,2,2.5,2.5,2.5,2.5,1.5,1.5,1.5,3,2.5,2.5,3,2.5,2.5,3,3,2.5,2.5,2,2.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,4,4,2,2,3
70134,LTC,IVORY,3,3,3,3,3,3,1,1,1,0,0.5,0.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3.5,3.5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3.5,4,4,3.5,3.5,4,4,4,4,4,3,3,3,3,2,3,3,3.5,3.5,3.5,3,3.5,3.5,3,3,3.5,4,3,4,4,2,0
70129,LTC,PEARL GREY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,3,3,3,3,3
528620,LTC,CHARCOAL,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5.5,5,5,4.5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5.5,5,5,5,5,4,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5.5,5.5,5.5,5,6,6.5,6.5,10,11.5,11,13,12,12,13,14,14,12,14,14,14,14,14,15,16,16,16,16,17,17,17,17,17,7,8,6,6,7
70136,LTC,PRESTIGE BEIGE,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,4,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7.5,8,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
528110,LTC,ALMOND,1,1,2,2,1.5,2,2,2,3,3,3,3,2.4,2.5,3,3,3,3,3,3,1,1,2,2,1,0,2,2,4,5,5,6,1,1.5,2,3,4,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1.5,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,5,5,6.5,7,7,7,8,8,8,8,9,8,10,12,20,22,23,23,24,24,24,24,4,4,4,3,4,1,1,0,1,2
528802,LTC,KV BLACK,26,37,18,28,38,45,18,29,47,33,63,63,41,43,61,77,88,79,74,65,46,60,72,88,52,28,48,57,51,61,77,59,39,53,67,61,72,89,52,44,59,69,53,21,37,45,45,55,50,65,61,68,66,73,50,21,27,39,50,55,62,24,27,36,36,46,50,67,33,47,41,36,46,59,64,77,49,24,34,48,55,66,47,54,28,35,24,38,44,27,30,37,52,49,32,36,49,55,44,46,64,16,21,37,55,38,45,46,60,70,54,25,42,49,40,34,50,72,45,20,35,51,63,60,75,82,5,3
528214,LTC,BROWNSTONE,2,2,2,2,2,2,2,1,2,1,1,1,1.5,1.5,1.5,2,1.5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,3,2,1,1.5,1.5,1.5,2,2,2,2,2,2,1,1,1,2,2,2,2,3,2,2,2,2.5,3,3,2,2,1,1,1,2,1,1,2,1,1.5,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1.5,2,2.5,3,4,4,4,5.5,6,4,4,3,3,4
528606,LTC,CANYON CLAY,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,9,9,9,9,9,9,9,10,9,9,9,7,8,8,8,8,8,8,7,7,5,6,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,10,9,9,7,4
528202,LTC,CASHMERE,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,2,0,0,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,1,1,2,0,1,1,1,2,3,2,1,2,3,3,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1.5,1,1,1,1,1,1,2,3,3.5,4,4,4,1,4,5,5,5,5,5,5,5.5,5.5,6,5.5,5.5,6,5,5,5.5,6,5,6,6,6,6,6,7,3,3,3,3,2
528925,LTC,COMMERCIAL BROWN,8,7,7,8,9,10,6,7,8.5,6,7,7,3,2,2.5,4,4,5,4,6,4,4,6,4,2,4,7,6,4,5,6,7,5,5,6,7,8,5,4,5,6,4,5,5.5,5,5,6,7,7,6,6,8,9,8,9,9,9,10,11,11,11,8,11.5,12,12,10,0,0,0,1,3,4,6,7,4,5,5,5,7,5,5,6,6,6,4,5,6,6,6,6,7,6,6,6,8,4,5,5,5,6.5,7,5,6,6,6,6,6,6,6,7,7,7,7,6,6,5,5,7,9,9,9,11,11,7,8,7,5,6
70131,LTC,DOVER GREY,0.5,0.5,1.5,2,2,3,0,0,1,0,1,1,2.5,3,2.5,2.5,2.5,2,2,2,0,0,0,1,2,2,2,2,1,1,1,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,1.5,1.5,2,1,1,1,2,1,2,2.5,1,1,1,1,3,0,0,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2.5,2.5,2,0.5,0.5,1,1,1.5,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3
528405,LTC,FOREST GREEN,2,2,1,1.5,2,2,2,2,2,3,2.5,2.5,2.5,1.5,1.5,2,1.5,2,2,2,1,1,1,1.5,2,2.5,2,2,1,1.5,2,2,2,2,2,1,1,2,2,2,2,1,1,2,3,3,3,3,3,3,3,3,2,2.5,1.5,3,3,3,1,1,1,2,2,2,2,2,2,1,1,1.5,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1.5,2,2,2,2,2,2,3,3,3,3,3,3,3,3.5,3,3,3,3,3.5,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
400426,LTC,ESPRESSO,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,2,2,3,3,3,3.5,3.5,3,4,4,3,3,3,4,4,4,5,5,5,5,5,4,4,1.5,2.5,3,3,3,4,4,4,4,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3.5,4,4,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3.5,3,2,2,4,3.52,3,3,2,1,1,2,3,3,2.5,2,3,4,3,3.5,4,4,4,3,3,5,4,4,5,5,5.5,4.5,4,4.5,4,4
528634,LTC,IRON ORE,4,11,6,7,9,12,6,6,7,6,9,9,9,4,7,8,4,6.5,9,7,5,9,9,10,8,1,4.5,6,7,8,10,11,8,9,11,8,9.5,10,11,8,8.5,10,1.5,3,3,4,3,6,3.5,8,5,7,8,9,9,3,4,4.5,8,9,8,3,7,5,5,7,8,10,10,10,12,12,13,8,8,9,10,9.5,10,2,2,7,9,9,10,10,11,11,11,5,8,9,9,6,8.5,5,7,7.5,8,8,7,3,6,7,8,6,9.5,10,9,10,8,10,4,1,7,7,8,13,14,17,20,21,21,5,8,7,6,8
528613,LTC,Storm Grey,2,2,3,2,2,2,0,0,0.5,0.5,2,2,2,2,2,2,2,1,1.5,2,2,2,2,2,0,0,2,2,2.5,3,2,1,1.5,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1.5,0,0.5,1,2,2,2,2,2,2,2,2,1.5,1.5,2,2,1,1,2,2,2,2,2,1,1.5,2,2,2,1,1,1,2,2,2.5,3,2.5,2,3,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,3,3,2,1,2,1,3,0,1,2.5,2,2
528616,LTC,Windswept Smoke,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,4,3,2,2,3,3,2,1,1,2,2,2,2,2,3,1,0,0,1,3,2,3.5,2,2,0.5,1,3,3,3,2,2,2,3,3,3,3,3,4,3,3,2,2,2,3,2,2,2,2,3,3,3,3,3,4,3.5,3.5,2.5,2,2,3,2,2,2,3,3,2,2,1,1,3,3,3,2,2,2.5,2,3,2,2,2,3,3,3,4,2,2,3,2,2.5,3,3,2,2,2,1,2,3,2,2.5,3,4,5,5,5,5,5.5,3.5,4,3,3,3
70132,LTC,IVY GREEN,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,2,2,2,2,2,2,2,1.5,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1.5,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,1,1
528927,LTC,NUTMEG,2.5,3.5,4,5,5,4,5,5,5,6,5.5,5.5,5.5,5,6,6,5,6,6,6,4,1.5,5,4.5,5,5,5,6,2,2,1,1,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2.5,3,3,3,2,2,2,3,3,2,2,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3.5,4,3,4,4,5,6,7,7,7.5,8,8,8,8,9,9,9,13,9,9,9,9,9,6,9,9,9,9,10,10,10,10,10,11,11,12,12,12,12,8,8,7.5,7,8
528210,LTC,PEBBLE,5,5,4,4,4,5,3,3,4,3,4,4,4,4,3,4,4,4,2,1,3,4,4,3,4,4,4,4,3,3,4,5,5,4,4,4,5,5,4,3,4,4,5,2,2.5,1,1,3,4,4,4,5,1,1,3,3,3,3,2,3,2,3,2,1,1,1,1,3.5,3,3,3.5,4,4,3,4,4,4,2,2,3.5,4,4,3,3,2,2,2,4,4,4,4,4,5,2,3,3,3,3,2,2,3,2,2.5,3,2.5,3,2.5,2.5,4,4,3,2,2,2,2,3,4,4,3,4,4,3,5,2,3,3,4,4
