ID,PO No,Supplier ID,PO Date,ITEM NO,Quantity,INVENTORY ID,PO DateReceived,PO DateRequired,PO DateRevised,QtyReceived,ShipBy,SpecialRequest,POLineClosed,Scanned,Tag,ShipLocalle,UnitCost
168756,35203,Ltcp137,01-Oct-25,1,1,CS1116,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168757,35203,Ltcp137,01-Oct-25,2,1,CS0441,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168758,35203,Ltcp137,01-Oct-25,3,1,STAIN REDUCER,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168759,35203,Ltcp137,01-Oct-25,4,1,528110,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168760,35203,Ltcp137,01-Oct-25,5,20,528802,06-Oct-25,02-Oct-25,,20,,,-1,,,Main Plant,0
168761,35203,Ltcp137,01-Oct-25,6,1,528620,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168762,35203,Ltcp137,01-Oct-25,7,2,Gentek 554,06-Oct-25,02-Oct-25,,2,,,-1,,,Main Plant,0
168763,35203,Ltcp137,01-Oct-25,8,2,528925,06-Oct-25,02-Oct-25,,2,,,-1,,,Main Plant,0
168764,35203,Ltcp137,01-Oct-25,9,1,70131,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168765,35203,Ltcp137,01-Oct-25,10,1,528927,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168766,35203,Ltcp137,01-Oct-25,11,1,528210,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168767,35203,Ltcp137,01-Oct-25,12,2,528219,06-Oct-25,02-Oct-25,,2,,,-1,,,Main Plant,0
168768,35203,Ltcp137,01-Oct-25,13,1,70121,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168769,35203,Ltcp137,01-Oct-25,14,1,528215,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168770,35203,Ltcp137,01-Oct-25,15,1,400426,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168771,35203,Ltcp137,01-Oct-25,16,2,528634,06-Oct-25,02-Oct-25,,2,,,-1,,,Main Plant,0
168772,35203,Ltcp137,01-Oct-25,17,1,528616,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168773,35203,Ltcp137,01-Oct-25,18,1,528021,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168774,35203,Ltcp137,01-Oct-25,19,1,585022,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168775,35203,Ltcp137,01-Oct-25,20,4,400050,06-Oct-25,02-Oct-25,,4,,,-1,,,Main Plant,0
168776,35203,Ltcp137,01-Oct-25,21,1,Gentek 265,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168777,35203,Ltcp137,01-Oct-25,22,1,Gentek 5H3,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168778,35203,Ltcp137,01-Oct-25,23,1,Gentek 567,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168779,35203,Ltcp137,01-Oct-25,24,1,Gentek 509,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168780,35203,Ltcp137,01-Oct-25,25,1,Gentek 542,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168781,35203,Ltcp137,01-Oct-25,26,1,NC0024L3.2-CLEARCOAT  30 %,06-Oct-25,02-Oct-25,,1,,,-1,,,Main Plant,0
168976,35246,Ltcp137,03-Oct-25,1,1,528925,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168977,35246,Ltcp137,03-Oct-25,2,1,528405,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168978,35246,Ltcp137,03-Oct-25,3,1,528210,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168979,35246,Ltcp137,03-Oct-25,4,1,528219,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168980,35246,Ltcp137,03-Oct-25,5,3,528634,06-Oct-25,03-Oct-25,,3,,,-1,,,Main Plant,0
168981,35246,Ltcp137,03-Oct-25,6,1,528021,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168982,35246,Ltcp137,03-Oct-25,7,1,Gentek 265,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168983,35246,Ltcp137,03-Oct-25,8,1,Gentek 5H3,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168984,35246,Ltcp137,03-Oct-25,9,1,MATT BLACK,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168985,35246,Ltcp137,03-Oct-25,10,1,Gentek 5H6,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
168986,35246,Ltcp137,03-Oct-25,11,1,Gentek 509,06-Oct-25,03-Oct-25,,1,,,-1,,,Main Plant,0
169054,35265,Ltcp137,06-Oct-25,1,1,CS1152,07-Oct-25,06-Oct-25,,1,,,-1,,,Main Plant,0
169055,35265,Ltcp137,06-Oct-25,2,20,528802,07-Oct-25,06-Oct-25,,20,,,-1,,,Main Plant,0
169056,35265,Ltcp137,06-Oct-25,3,1,528925,07-Oct-25,06-Oct-25,,1,,,-1,,,Main Plant,0
169057,35265,Ltcp137,06-Oct-25,4,1,528219,07-Oct-25,06-Oct-25,,1,,,-1,,,Main Plant,0
169058,35265,Ltcp137,06-Oct-25,5,1,528304,07-Oct-25,06-Oct-25,,1,,,-1,,,Main Plant,0
169059,35265,Ltcp137,06-Oct-25,6,2,528111,07-Oct-25,06-Oct-25,,2,,,-1,,,Main Plant,0
169060,35265,Ltcp137,06-Oct-25,7,3,528021,07-Oct-25,06-Oct-25,,3,,,-1,,,Main Plant,0
169061,35265,Ltcp137,06-Oct-25,8,1,585022,07-Oct-25,06-Oct-25,,1,,,-1,,,Main Plant,0
